name,category,barcode,price,cost,stock
Coca Cola 500ml,Drinks,2001,5.00,3.20,48
Pepsi 500ml,Drinks,2002,5.00,3.10,40
Fanta Orange 500ml,Drinks,2003,5.00,3.15,36
Sprite 500ml,Drinks,2004,5.00,3.15,34
Bottle Water 750ml,Drinks,2005,3.00,1.50,60
Malt Drink 330ml,Drinks,2006,8.00,5.20,28
Energy Drink 250ml,Drinks,2007,12.00,8.00,22
Fresh Milk 1L,Dairy,2008,14.00,10.00,18
Yoghurt Strawberry,Dairy,2009,10.00,7.00,20
Bread Large,Bakery,2010,8.00,5.00,25
Meat Pie,Bakery,2011,6.00,3.80,30
Cupcake Vanilla,Bakery,2012,4.00,2.20,24
Sugar 1kg,Groceries,2013,7.00,4.50,32
Rice 5kg,Groceries,2014,30.00,23.00,16
Spaghetti 500g,Groceries,2015,9.00,6.00,27
Tomato Paste Medium,Groceries,2016,6.00,4.10,29
Cooking Oil 1L,Groceries,2017,15.00,11.00,19
Sardine Tin,Groceries,2018,20.00,18.00,21
Corned Beef Tin,Groceries,2019,18.00,14.00,17
Baked Beans Tin,Groceries,2020,11.00,8.00,23
Bath Soap,Laundry,2021,5.00,3.00,40
Washing Powder Small,Laundry,2022,12.00,8.50,18
Dishwashing Liquid,Laundry,2023,14.00,10.00,15
Toilet Roll 4 Pack,Household,2024,16.00,12.00,20
Tissue Box,Household,2025,9.00,6.20,26
Toothpaste Large,Personal Care,2026,13.00,9.00,14
Toothbrush Medium,Personal Care,2027,6.00,3.50,35
Body Lotion 250ml,Personal Care,2028,22.00,16.00,12
Shampoo 400ml,Personal Care,2029,25.00,18.00,10
Notebook A5,Stationery,2030,7.00,4.00,45
Blue Pen,Stationery,2031,2.00,0.80,80
Marker Pen,Stationery,2032,5.00,2.50,33
AA Batteries 2 Pack,Electronics,2033,14.00,9.50,18
USB Cable,Electronics,2034,20.00,14.00,11
Phone Charger,Electronics,2035,35.00,26.00,9
